r_gt,d,arc,n_circles,r_meas,e_r,e_c,f_req,r_pred,e_c_pred,note
0.4,2.5,0.9,1,0.39858,-0.00142,-0.13996,0.15021,0.42939,-0.35841,
0.4,2.5,0.75,1,0.35539,-0.04461,-0.15949,0.22931,0.40514,-0.38276,
0.4,2.5,0.6,1,0.31482,-0.08518,-0.16914,0.29982,0.3835,-0.39246,
0.4,2.5,0.5,1,0.28331,-0.11669,-0.17202,0.3527,0.36959,-0.3946,
0.4,3.0,1.0,0,,,,,0.45776,-0.28221,NO_DETECTION
0.4,3.0,0.9,1,0.39571,-0.00429,-0.14241,0.15147,0.43356,-0.35126,
0.4,3.0,0.75,1,0.34594,-0.05406,-0.16907,0.24203,0.41019,-0.37752,
0.4,3.0,0.6,1,0.29958,-0.10042,-0.18365,0.32236,0.38888,-0.38857,
0.4,3.0,0.5,1,0.26539,-0.13461,-0.18912,0.37977,0.37504,-0.39142,
0.4,4.0,1.0,1,0.42654,0.02654,-0.1163,0.08983,0.45957,-0.26978,
0.4,4.0,0.9,1,0.38963,-0.01037,-0.14546,0.15976,0.43838,-0.34201,
0.4,4.0,0.75,1,0.34049,-0.05951,-0.1734,0.24899,0.41618,-0.37069,
0.4,4.0,0.6,1,0.29383,-0.10617,-0.19019,0.32995,0.39535,-0.38348,
0.4,4.0,0.5,1,0.25515,-0.14485,-0.19794,0.39504,0.38163,-0.38722,
0.5,1.0,1.0,0,,,,,0.5,-0.5,NO_DETECTION
0.5,1.0,0.9,1,0.38341,-0.11659,-0.26875,0.39626,0.43648,-0.53682,
0.5,1.0,0.75,1,0.32805,-0.17195,-0.28677,0.48786,0.39903,-0.53858,
0.5,1.0,0.6,1,0.28576,-0.21424,-0.29352,0.55635,0.37178,-0.53243,
0.5,1.0,0.5,1,0.25926,-0.24074,-0.29475,0.59866,0.35614,-0.52641,
0.5,1.5,1.0,0,,,,,0.54433,-0.43883,NO_DETECTION
0.5,1.5,0.9,0,,,,,0.49385,-0.49941,NO_DETECTION
0.5,1.5,0.75,1,0.37249,-0.12751,-0.25748,0.41056,0.45826,-0.51475,
0.5,1.5,0.6,1,0.32324,-0.17676,-0.26955,0.49254,0.42991,-0.51674,
0.5,1.5,0.5,1,0.28927,-0.21073,-0.27354,0.54801,0.41277,-0.51439,
0.5,2.0,1.0,0,,,,,0.55902,-0.40451,NO_DETECTION
0.5,2.0,0.9,0,,,,,0.51645,-0.47618,NO_DETECTION
0.5,2.0,0.75,1,0.39489,-0.10511,-0.24198,0.37062,0.483,-0.49868,
0.5,2.0,0.6,1,0.34064,-0.15936,-0.25738,0.46225,0.45496,-0.50534,
0.5,2.0,0.5,1,0.30324,-0.19676,-0.26281,0.52397,0.43754,-0.50527,
0.5,2.5,1.0,0,,,,,0.56569,-0.38284,NO_DETECTION
0.5,2.5,0.9,0,,,,,0.52823,-0.46092,NO_DETECTION
0.5,2.5,0.75,0,,,,,0.49642,-0.4878,NO_DETECTION
0.5,2.5,0.6,1,0.38176,-0.11824,-0.21986,0.39608,0.46885,-0.49745,
0.5,2.5,0.5,1,0.34608,-0.15392,-0.22272,0.45556,0.45141,-0.49886,
0.5,3.0,1.0,0,,,,,0.56928,-0.36797,NO_DETECTION
0.5,3.0,0.9,0,,,,,0.53538,-0.45021,NO_DETECTION
0.5,3.0,0.75,0,,,,,0.5048,-0.48005,NO_DETECTION
0.5,3.0,0.6,1,0.37843,-0.12157,-0.22442,0.39884,0.47765,-0.49175,
0.5,3.0,0.5,1,0.33958,-0.16042,-0.22915,0.46384,0.46026,-0.49422,
0.5,4.0,1.0,0,,,,,0.57282,-0.34891,NO_DETECTION
0.5,4.0,0.9,0,,,,,0.54351,-0.43622,NO_DETECTION
0.5,4.0,0.75,1,0.41201,-0.08799,-0.22888,0.33606,0.51465,-0.4698,
0.5,4.0,0.6,1,0.34645,-0.15355,-0.25163,0.44861,0.48815,-0.48416,
0.5,4.0,0.5,1,0.30794,-0.19206,-0.25914,0.51294,0.47089,-0.48799,
